"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","13","13000","Georgia","10,154,766","1,536,069","1,503,877","1,568,261","1,503,877 to 1,568,261","15.1","14.8","15.4","14.8 to 15.4","2,473,763","532,013","513,320","550,706","513,320 to 550,706","21.5","20.7","22.3","20.7 to 22.3","1,820,882","370,142","353,546","386,738","353,546 to 386,738","20.3","19.4","21.2","19.4 to 21.2","643,357","153,380","145,103","161,657","145,103 to 161,657","23.8","22.5","25.1","22.5 to 25.1","$56,117","$55,555","$56,679","$55,555 to $56,679"
"2017","15","15000","Hawaii","1,388,545","132,201","126,481","137,921","126,481 to 137,921","9.5","9.1","9.9","9.1 to 9.9","299,434","35,572","32,442","38,702","32,442 to 38,702","11.9","10.9","12.9","10.9 to 12.9","210,341","22,463","19,838","25,088","19,838 to 25,088","10.7","9.5","11.9","9.5 to 11.9","87,220","11,596","9,898","13,294","9,898 to 13,294","13.3","11.4","15.2","11.4 to 15.2","$77,936","$76,340","$79,532","$76,340 to $79,532"
"2017","16","16000","Idaho","1,686,488","211,937","203,631","220,243","203,631 to 220,243","12.6","12.1","13.1","12.1 to 13.1","438,163","64,896","60,371","69,421","60,371 to 69,421","14.8","13.8","15.8","13.8 to 15.8","322,323","42,957","39,032","46,882","39,032 to 46,882","13.3","12.1","14.5","12.1 to 14.5","114,190","20,008","17,900","22,116","17,900 to 22,116","17.5","15.7","19.3","15.7 to 19.3","$52,280","$51,448","$53,112","$51,448 to $53,112"
"2017","17","17000","Illinois","12,503,704","1,568,670","1,543,257","1,594,083","1,543,257 to 1,594,083","12.5","12.3","12.7","12.3 to 12.7","2,857,901","485,816","470,646","500,986","470,646 to 500,986","17.0","16.5","17.5","16.5 to 17.5","2,089,975","333,818","320,832","346,804","320,832 to 346,804","16.0","15.4","16.6","15.4 to 16.6","757,310","142,481","134,834","150,128","134,834 to 150,128","18.8","17.8","19.8","17.8 to 19.8","$63,044","$62,509","$63,579","$62,509 to $63,579"
"2017","18","18000","Indiana","6,463,664","860,753","841,903","879,603","841,903 to 879,603","13.3","13.0","13.6","13.0 to 13.6","1,537,002","274,117","263,205","285,029","263,205 to 285,029","17.8","17.1","18.5","17.1 to 18.5","1,119,608","182,455","172,865","192,045","172,865 to 192,045","16.3","15.4","17.2","15.4 to 17.2","407,758","83,000","78,256","87,744","78,256 to 87,744","20.4","19.2","21.6","19.2 to 21.6","$54,134","$53,493","$54,775","$53,493 to $54,775"
"2017","19","19000","Iowa","3,044,666","328,629","319,716","337,542","319,716 to 337,542","10.8","10.5","11.1","10.5 to 11.1","718,139","90,246","85,662","94,830","85,662 to 94,830","12.6","12.0","13.2","12.0 to 13.2","520,196","56,921","53,028","60,814","53,028 to 60,814","10.9","10.2","11.6","10.2 to 11.6","194,081","29,970","27,513","32,427","27,513 to 32,427","15.4","14.1","16.7","14.1 to 16.7","$58,706","$57,889","$59,523","$57,889 to $59,523"
"2017","20","20000","Kansas","2,827,374","335,371","325,420","345,322","325,420 to 345,322","11.9","11.5","12.3","11.5 to 12.3","699,235","102,858","97,150","108,566","97,150 to 108,566","14.7","13.9","15.5","13.9 to 15.5","506,188","67,873","62,948","72,798","62,948 to 72,798","13.4","12.4","14.4","12.4 to 14.4","188,790","31,443","28,724","34,162","28,724 to 34,162","16.7","15.3","18.1","15.3 to 18.1","$56,382","$55,700","$57,064","$55,700 to $57,064"
"2017","21","21000","Kentucky","4,317,001","738,563","723,378","753,748","723,378 to 753,748","17.1","16.7","17.5","16.7 to 17.5","988,584","218,734","211,037","226,431","211,037 to 226,431","22.1","21.3","22.9","21.3 to 22.9","713,897","146,838","140,354","153,322","140,354 to 153,322","20.6","19.7","21.5","19.7 to 21.5","268,361","66,607","62,866","70,348","62,866 to 70,348","24.8","23.4","26.2","23.4 to 26.2","$48,332","$47,716","$48,948","$47,716 to $48,948"
"2017","22","22000","Louisiana","4,553,048","893,827","875,670","911,984","875,670 to 911,984","19.6","19.2","20.0","19.2 to 20.0","1,092,837","303,024","293,085","312,963","293,085 to 312,963","27.7","26.8","28.6","26.8 to 28.6","783,478","203,606","194,890","212,322","194,890 to 212,322","26.0","24.9","27.1","24.9 to 27.1","305,652","95,740","91,062","100,418","91,062 to 100,418","31.3","29.8","32.8","29.8 to 32.8","$46,283","$45,663","$46,903","$45,663 to $46,903"
"2017","23","23000","Maine","1,301,241","147,413","141,958","152,868","141,958 to 152,868","11.3","10.9","11.7","10.9 to 11.7","247,126","35,045","32,560","37,530","32,560 to 37,530","14.2","13.2","15.2","13.2 to 15.2","182,594","23,871","21,664","26,078","21,664 to 26,078","13.1","11.9","14.3","11.9 to 14.3","62,626","9,522","8,477","10,567","8,477 to 10,567","15.2","13.5","16.9","13.5 to 16.9","$55,980","$54,896","$57,064","$54,896 to $57,064"
"2017","24","24000","Maryland","5,915,309","556,549","541,127","571,971","541,127 to 571,971","9.4","9.1","9.7","9.1 to 9.7","1,332,241","165,365","157,132","173,598","157,132 to 173,598","12.4","11.8","13.0","11.8 to 13.0","966,850","112,037","104,796","119,278","104,796 to 119,278","11.6","10.9","12.3","10.9 to 12.3","360,338","48,728","45,000","52,456","45,000 to 52,456","13.5","12.5","14.5","12.5 to 14.5","$80,711","$80,023","$81,399","$80,023 to $81,399"
"2017","25","25000","Massachusetts","6,622,457","692,943","675,076","710,810","675,076 to 710,810","10.5","10.2","10.8","10.2 to 10.8","1,348,928","182,461","173,590","191,332","173,590 to 191,332","13.5","12.8","14.2","12.8 to 14.2","991,310","126,029","118,515","133,543","118,515 to 133,543","12.7","11.9","13.5","11.9 to 13.5","351,898","51,167","46,523","55,811","46,523 to 55,811","14.5","13.2","15.8","13.2 to 15.8","$77,385","$76,519","$78,251","$76,519 to $78,251"
"2017","26","26000","Michigan","9,730,194","1,373,358","1,351,618","1,395,098","1,351,618 to 1,395,098","14.1","13.9","14.3","13.9 to 14.3","2,128,494","416,305","404,866","427,744","404,866 to 427,744","19.6","19.1","20.1","19.1 to 20.1","1,559,485","275,411","265,855","284,967","265,855 to 284,967","17.7","17.1","18.3","17.1 to 18.3","557,388","130,222","124,403","136,041","124,403 to 136,041","23.4","22.4","24.4","22.4 to 24.4","$54,840","$54,405","$55,275","$54,405 to $55,275"
"2017","27","27000","Minnesota","5,450,571","517,348","505,806","528,890","505,806 to 528,890","9.5","9.3","9.7","9.3 to 9.7","1,273,424","149,218","142,348","156,088","142,348 to 156,088","11.7","11.2","12.2","11.2 to 12.2","920,413","99,614","93,661","105,567","93,661 to 105,567","10.8","10.2","11.4","10.2 to 11.4","345,890","43,319","39,712","46,926","39,712 to 46,926","12.5","11.5","13.5","11.5 to 13.5","$68,364","$67,722","$69,006","$67,722 to $69,006"
"2017","28","28000","Mississippi","2,889,837","573,717","561,749","585,685","561,749 to 585,685","19.9","19.5","20.3","19.5 to 20.3","703,121","194,336","187,869","200,803","187,869 to 200,803","27.6","26.7","28.5","26.7 to 28.5","517,248","139,482","134,024","144,940","134,024 to 144,940","27.0","25.9","28.1","25.9 to 28.1","182,985","52,336","48,981","55,691","48,981 to 55,691","28.6","26.8","30.4","26.8 to 30.4","$43,595","$42,773","$44,417","$42,773 to $44,417"
"2017","29","29000","Missouri","5,928,578","793,001","776,721","809,281","776,721 to 809,281","13.4","13.1","13.7","13.1 to 13.7","1,350,847","249,829","240,522","259,136","240,522 to 259,136","18.5","17.8","19.2","17.8 to 19.2","978,732","168,099","160,349","175,849","160,349 to 175,849","17.2","16.4","18.0","16.4 to 18.0","363,844","74,279","69,539","79,019","69,539 to 79,019","20.4","19.1","21.7","19.1 to 21.7","$53,506","$52,890","$54,122","$52,890 to $54,122"
"2017","30","30000","Montana","1,024,535","130,616","125,024","136,208","125,024 to 136,208","12.7","12.2","13.2","12.2 to 13.2","222,741","35,323","32,971","37,675","32,971 to 37,675","15.9","14.8","17.0","14.8 to 17.0","160,263","22,472","20,522","24,422","20,522 to 24,422","14.0","12.8","15.2","12.8 to 15.2","61,493","11,864","10,638","13,090","10,638 to 13,090","19.3","17.3","21.3","17.3 to 21.3","$53,262","$51,987","$54,537","$51,987 to $54,537"
"2017","31","31000","Nebraska","1,865,022","198,984","191,439","206,529","191,439 to 206,529","10.7","10.3","11.1","10.3 to 11.1","466,141","63,981","59,898","68,064","59,898 to 68,064","13.7","12.8","14.6","12.8 to 14.6","334,062","42,235","38,684","45,786","38,684 to 45,786","12.6","11.5","13.7","11.5 to 13.7","129,482","19,275","17,401","21,149","17,401 to 21,149","14.9","13.5","16.3","13.5 to 16.3","$59,913","$58,959","$60,867","$58,959 to $60,867"
"2017","32","32000","Nevada","2,954,259","392,857","379,792","405,922","379,792 to 405,922","13.3","12.9","13.7","12.9 to 13.7","672,708","129,102","122,765","135,439","122,765 to 135,439","19.2","18.3","20.1","18.3 to 20.1","488,207","87,307","81,843","92,771","81,843 to 92,771","17.9","16.8","19.0","16.8 to 19.0","181,301","38,686","35,608","41,764","35,608 to 41,764","21.3","19.6","23.0","19.6 to 23.0","$57,932","$57,032","$58,832","$57,032 to $58,832"
"2017","33","33000","New Hampshire","1,298,883","100,550","95,275","105,825","95,275 to 105,825","7.7","7.3","8.1","7.3 to 8.1","253,089","25,283","22,708","27,858","22,708 to 27,858","10.0","9.0","11.0","9.0 to 11.0","189,360","17,303","15,033","19,573","15,033 to 19,573","9.1","7.9","10.3","7.9 to 10.3","62,209","6,744","5,633","7,855","5,633 to 7,855","10.8","9.0","12.6","9.0 to 12.6","$73,638","$72,173","$75,103","$72,173 to $75,103"
"2017","34","34000","New Jersey","8,831,188","882,132","862,408","901,856","862,408 to 901,856","10.0","9.8","10.2","9.8 to 10.2","1,955,179","270,713","259,622","281,804","259,622 to 281,804","13.8","13.2","14.4","13.2 to 14.4","1,440,645","189,048","179,643","198,453","179,643 to 198,453","13.1","12.4","13.8","12.4 to 13.8","510,692","77,659","71,868","83,450","71,868 to 83,450","15.2","14.1","16.3","14.1 to 16.3","$80,106","$79,451","$80,761","$79,451 to $80,761"
"2017","35","35000","New Mexico","2,044,204","388,790","378,032","399,548","378,032 to 399,548","19.0","18.5","19.5","18.5 to 19.5","478,607","124,045","118,269","129,821","118,269 to 129,821","25.9","24.7","27.1","24.7 to 27.1","352,418","86,767","81,790","91,744","81,790 to 91,744","24.6","23.2","26.0","23.2 to 26.0","124,169","35,257","32,493","38,021","32,493 to 38,021","28.4","26.2","30.6","26.2 to 30.6","$47,086","$45,974","$48,198","$45,974 to $48,198"
"2017","36","36000","New York","19,337,642","2,735,578","2,700,018","2,771,138","2,700,018 to 2,771,138","14.1","13.9","14.3","13.9 to 14.3","4,079,562","812,336","793,426","831,246","793,426 to 831,246","19.9","19.4","20.4","19.4 to 20.4","2,926,441","554,556","539,383","569,729","539,383 to 569,729","18.9","18.4","19.4","18.4 to 19.4","1,134,270","240,184","229,203","251,165","229,203 to 251,165","21.2","20.2","22.2","20.2 to 22.2","$64,783","$64,283","$65,283","$64,283 to $65,283"
"2017","37","37000","North Carolina","10,009,026","1,468,032","1,442,873","1,493,191","1,442,873 to 1,493,191","14.7","14.4","15.0","14.4 to 15.0","2,272,323","476,438","461,659","491,217","461,659 to 491,217","21.0","20.3","21.7","20.3 to 21.7","1,664,663","326,389","313,330","339,448","313,330 to 339,448","19.6","18.8","20.4","18.8 to 20.4","597,585","140,316","133,819","146,813","133,819 to 146,813","23.5","22.4","24.6","22.4 to 24.6","$52,797","$52,295","$53,299","$52,295 to $53,299"
"2017","38","38000","North Dakota","729,303","74,057","70,249","77,865","70,249 to 77,865","10.2","9.7","10.7","9.7 to 10.7","171,914","19,661","17,896","21,426","17,896 to 21,426","11.4","10.4","12.4","10.4 to 12.4","118,762","12,386","10,923","13,849","10,923 to 13,849","10.4","9.2","11.6","9.2 to 11.6","52,689","6,759","5,831","7,687","5,831 to 7,687","12.8","11.0","14.6","11.0 to 14.6","$62,400","$61,392","$63,408","$61,392 to $63,408"
"2017","39","39000","Ohio","11,330,717","1,575,401","1,551,281","1,599,521","1,551,281 to 1,599,521","13.9","13.7","14.1","13.7 to 14.1","2,556,563","507,119","493,056","521,182","493,056 to 521,182","19.8","19.2","20.4","19.2 to 20.4","1,862,800","339,888","328,221","351,555","328,221 to 351,555","18.2","17.6","18.8","17.6 to 18.8","680,703","155,522","148,753","162,291","148,753 to 162,291","22.8","21.8","23.8","21.8 to 23.8","$54,077","$53,670","$54,484","$53,670 to $54,484"
"2017","40","40000","Oklahoma","3,815,034","600,911","589,591","612,231","589,591 to 612,231","15.8","15.5","16.1","15.5 to 16.1","940,578","200,447","193,877","207,017","193,877 to 207,017","21.3","20.6","22.0","20.6 to 22.0","681,378","136,937","131,340","142,534","131,340 to 142,534","20.1","19.3","20.9","19.3 to 20.9","255,532","59,699","56,255","63,143","56,255 to 63,143","23.4","22.1","24.7","22.1 to 24.7","$50,051","$49,487","$50,615","$49,487 to $50,615"
"2017","41","41000","Oregon","4,064,453","534,846","521,125","548,567","521,125 to 548,567","13.2","12.9","13.5","12.9 to 13.5","855,784","141,083","133,798","148,368","133,798 to 148,368","16.5","15.6","17.4","15.6 to 17.4","620,237","92,236","85,862","98,610","85,862 to 98,610","14.9","13.9","15.9","13.9 to 15.9","228,675","42,628","39,150","46,106","39,150 to 46,106","18.6","17.1","20.1","17.1 to 20.1","$60,123","$59,356","$60,890","$59,356 to $60,890"
"2017","42","42000","Pennsylvania","12,398,116","1,548,557","1,524,709","1,572,405","1,524,709 to 1,572,405","12.5","12.3","12.7","12.3 to 12.7","2,619,594","443,665","430,076","457,254","430,076 to 457,254","16.9","16.4","17.4","16.4 to 17.4","1,917,164","300,068","288,217","311,919","288,217 to 311,919","15.7","15.1","16.3","15.1 to 16.3","692,310","134,116","127,343","140,889","127,343 to 140,889","19.4","18.4","20.4","18.4 to 20.4","$59,165","$58,728","$59,602","$58,728 to $59,602"
"2017","44","44000","Rhode Island","1,018,560","125,208","118,956","131,460","118,956 to 131,460","12.3","11.7","12.9","11.7 to 12.9","204,042","37,091","34,517","39,665","34,517 to 39,665","18.2","16.9","19.5","16.9 to 19.5","150,339","25,638","23,450","27,826","23,450 to 27,826","17.1","15.6","18.6","15.6 to 18.6","53,175","10,766","9,514","12,018","9,514 to 12,018","20.2","17.8","22.6","17.8 to 22.6","$62,923","$61,349","$64,497","$61,349 to $64,497"
"2017","45","45000","South Carolina","4,882,684","750,359","735,356","765,362","735,356 to 765,362","15.4","15.1","15.7","15.1 to 15.7","1,086,644","242,819","234,515","251,123","234,515 to 251,123","22.3","21.5","23.1","21.5 to 23.1","794,644","169,622","162,191","177,053","162,191 to 177,053","21.3","20.4","22.2","20.4 to 22.2","287,456","69,188","65,427","72,949","65,427 to 72,949","24.1","22.8","25.4","22.8 to 25.4","$50,675","$50,151","$51,199","$50,151 to $51,199"
"2017","46","46000","South Dakota","838,947","107,522","103,234","111,810","103,234 to 111,810","12.8","12.3","13.3","12.3 to 13.3","208,560","33,977","31,772","36,182","31,772 to 36,182","16.3","15.2","17.4","15.2 to 17.4","147,940","22,503","20,642","24,364","20,642 to 24,364","15.2","13.9","16.5","13.9 to 16.5","59,650","10,579","9,486","11,672","9,486 to 11,672","17.7","15.9","19.5","15.9 to 19.5","$56,871","$55,674","$58,068","$55,674 to $58,068"
"2017","47","47000","Tennessee","6,555,396","980,394","961,862","998,926","961,862 to 998,926","15.0","14.7","15.3","14.7 to 15.3","1,483,926","313,432","303,257","323,607","303,257 to 323,607","21.1","20.4","21.8","20.4 to 21.8","1,079,385","213,912","205,109","222,715","205,109 to 222,715","19.8","19.0","20.6","19.0 to 20.6","398,914","94,225","89,428","99,022","89,428 to 99,022","23.6","22.4","24.8","22.4 to 24.8","$51,319","$50,914","$51,724","$50,914 to $51,724"
"2017","48","48000","Texas","27,676,374","4,080,377","4,036,102","4,124,652","4,036,102 to 4,124,652","14.7","14.5","14.9","14.5 to 14.9","7,279,762","1,525,944","1,494,968","1,556,920","1,494,968 to 1,556,920","21.0","20.6","21.4","20.6 to 21.4","5,263,460","1,047,625","1,020,438","1,074,812","1,020,438 to 1,074,812","19.9","19.4","20.4","19.4 to 20.4","1,990,771","454,312","439,905","468,719","439,905 to 468,719","22.8","22.1","23.5","22.1 to 23.5","$59,195","$58,712","$59,678","$58,712 to $59,678"
"2017","49","49000","Utah","3,052,627","296,138","284,801","307,475","284,801 to 307,475","9.7","9.3","10.1","9.3 to 10.1","914,395","96,881","90,671","103,091","90,671 to 103,091","10.6","9.9","11.3","9.9 to 11.3","660,338","62,631","57,316","67,946","57,316 to 67,946","9.5","8.7","10.3","8.7 to 10.3","249,744","30,591","27,509","33,673","27,509 to 33,673","12.2","11.0","13.4","11.0 to 13.4","$68,395","$67,267","$69,523","$67,267 to $69,523"
"2017","50","50000","Vermont","599,875","65,068","61,032","69,104","61,032 to 69,104","10.8","10.1","11.5","10.1 to 11.5","114,878","14,656","13,200","16,112","13,200 to 16,112","12.8","11.5","14.1","11.5 to 14.1","84,815","9,803","8,543","11,063","8,543 to 11,063","11.6","10.1","13.1","10.1 to 13.1","29,547","4,145","3,444","4,846","3,444 to 4,846","14.0","11.6","16.4","11.6 to 16.4","$58,271","$56,580","$59,962","$56,580 to $59,962"
"2017","51","51000","Virginia","8,221,001","876,438","856,763","896,113","856,763 to 896,113","10.7","10.5","10.9","10.5 to 10.9","1,841,946","258,038","247,583","268,493","247,583 to 268,493","14.0","13.4","14.6","13.4 to 14.6","1,332,649","177,741","169,011","186,471","169,011 to 186,471","13.3","12.6","14.0","12.6 to 14.0","501,581","73,601","68,258","78,944","68,258 to 78,944","14.7","13.6","15.8","13.6 to 15.8","$71,518","$70,983","$72,053","$70,983 to $72,053"
"2017","53","53000","Washington","7,273,730","799,675","781,803","817,547","781,803 to 817,547","11.0","10.8","11.2","10.8 to 11.2","1,620,873","230,007","219,520","240,494","219,520 to 240,494","14.2","13.6","14.8","13.6 to 14.8","1,163,723","155,568","146,434","164,702","146,434 to 164,702","13.4","12.6","14.2","12.6 to 14.2","446,450","65,010","60,616","69,404","60,616 to 69,404","14.6","13.6","15.6","13.6 to 15.6","$70,942","$70,369","$71,515","$70,369 to $71,515"
"2017","54","54000","West Virginia","1,762,557","326,502","316,875","336,129","316,875 to 336,129","18.5","18.0","19.0","18.0 to 19.0","358,762","87,601","83,372","91,830","83,372 to 91,830","24.4","23.2","25.6","23.2 to 25.6","261,768","58,443","54,899","61,987","54,899 to 61,987","22.3","20.9","23.7","20.9 to 23.7","94,996","27,396","25,303","29,489","25,303 to 29,489","28.8","26.6","31.0","26.6 to 31.0","$43,238","$41,975","$44,501","$41,975 to $44,501"
"2017","55","55000","Wisconsin","5,645,158","640,174","627,066","653,282","627,066 to 653,282","11.3","11.1","11.5","11.1 to 11.5","1,256,959","183,445","175,854","191,036","175,854 to 191,036","14.6","14.0","15.2","14.0 to 15.2","921,897","124,586","117,910","131,262","117,910 to 131,262","13.5","12.8","14.2","12.8 to 14.2","327,527","52,307","48,640","55,974","48,640 to 55,974","16.0","14.9","17.1","14.9 to 17.1","$59,300","$58,725","$59,875","$58,725 to $59,875"
"2017","56","56000","Wyoming","565,272","61,319","57,678","64,960","57,678 to 64,960","10.8","10.2","11.4","10.2 to 11.4","133,797","17,316","15,694","18,938","15,694 to 18,938","12.9","11.7","14.1","11.7 to 14.1","97,323","11,265","9,894","12,636","9,894 to 12,636","11.6","10.2","13.0","10.2 to 13.0","35,992","5,392","4,568","6,216","4,568 to 6,216","15.0","12.7","17.3","12.7 to 17.3","$61,279","$59,760","$62,798","$59,760 to $62,798"

